transaction_id,Sta,station_name,Dest,dest_station_name,Line,LineCC,PrType,TxT,FarT,Value,TrxDetail,InsertionDateTime
1,25,Hauz Khas,30,Sultanpur,Yellow Line,YL,Other,Exit,Adult,20.00,OT-20240702-462649,2024-07-02 11:01:51
2,116,Nirman Vihar,121,Vaishali,Blue Line (V),BLV,Other,Entry,Adult,50.00,OT-20240729-903242,2024-07-29 18:19:15
3,93,Keshav Puram,94,Kanhaiya Nagar,Red Line,RL,Other,Exit,Adult,50.00,OT-20240511-375398,2024-05-11 21:55:13
4,87,Rithala,104,Mansarovar Park,Red Line,RL,Other,Exit,Student,50.00,OT-20240509-272672,2024-05-09 12:14:34
5,18,Central Secretariat,28,Qutab Minar,Yellow Line,YL,QR Ticket,Exit,Adult,50.00,QR-20240508-906059,2024-05-08 20:11:16
6,22,INA,2,Rohini Sector 18-19,Yellow Line,YL,Other,Entry,Concession,60.00,OT-20240621-301905,2024-06-21 12:55:25
7,2,Rohini Sector 18-19,25,Hauz Khas,Yellow Line,YL,Other,Exit,Concession,40.00,OT-20240524-798962,2024-05-24 09:58:16
8,99,Tis Hazari,108,Raj Bagh,Red Line,RL,Other,Entry,Concession,30.00,OT-20240626-090355,2024-06-26 10:48:55
9,119,Anand Vihar,121,Vaishali,Blue Line (V),BLV,Other,Entry,Senior Citizen,20.00,OT-20240708-494500,2024-07-08 18:32:32
10,34,Sikanderpur,8,Guru Tegh Bahadur Nagar,Yellow Line,YL,Other,Exit,Adult,10.00,OT-20240518-393966,2024-05-18 17:45:30
11,37,HUDA City Centre,53,Tilak Nagar,Yellow Line,YL,Other,Exit,Student,50.00,OT-20240629-739700,2024-06-29 08:58:27
12,12,Kashmere Gate,16,Rajiv Chowk,Yellow Line,YL,QR Ticket,Exit,Concession,60.00,QR-20240524-798474,2024-05-24 19:04:32
13,8,Guru Tegh Bahadur Nagar,11,Civil Lines,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240615-405092,2024-06-15 22:05:04
14,7,Model Town,4,Jahangirpuri,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240726-446065,2024-07-26 10:33:17
15,18,Central Secretariat,21,Jor Bagh,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240720-717532,2024-07-20 12:48:28
16,138,Tikri Border,139,Pandit Shree Ram Sharma,Green Line,GL,Other,Exit,Senior Citizen,50.00,OT-20240507-382705,2024-05-07 11:19:09
17,34,Sikanderpur,32,Arjan Garh,Yellow Line,YL,QR Ticket,Exit,Adult,30.00,QR-20240608-546547,2024-06-08 08:09:25
18,37,HUDA City Centre,14,Chawri Bazar,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240525-466039,2024-05-25 19:26:51
19,25,Hauz Khas,20,Lok Kalyan Marg,Yellow Line,YL,Other,Exit,Adult,60.00,OT-20240428-337548,2024-04-28 08:31:39
20,119,Anand Vihar,120,Kaushambi,Blue Line (V),BLV,Other,Exit,Adult,30.00,OT-20240713-866006,2024-07-13 09:55:27
21,37,HUDA City Centre,75,Noida Sector 15,Yellow Line,YL,Other,Exit,Adult,40.00,OT-20240630-799195,2024-06-30 07:31:42
22,25,Hauz Khas,1,Samaypur Badli,Yellow Line,YL,Other,Exit,Concession,60.00,OT-20240523-606545,2024-05-23 08:56:09
23,18,Central Secretariat,24,Green Park,Yellow Line,YL,QR Ticket,Entry,Adult,60.00,QR-20240710-521085,2024-07-10 18:36:43
24,37,HUDA City Centre,24,Green Park,Yellow Line,YL,Other,Entry,Student,50.00,OT-20240621-645016,2024-06-21 17:29:35
25,25,Hauz Khas,134,Mundka,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240609-189117,2024-06-09 17:48:38
26,46,Dwarka,142,Satguru Ram Singh Marg,Blue Line (N),BLN,Other,Entry,Adult,30.00,OT-20240429-383899,2024-04-29 06:49:54
27,34,Sikanderpur,14,Chawri Bazar,Yellow Line,YL,Other,Entry,Student,30.00,OT-20240505-220742,2024-05-05 21:43:47
28,164,NHPC Chowk,145,Delhi Gate,Violet Line,VL,Other,Entry,Adult,60.00,OT-20240724-442624,2024-07-24 22:53:45
29,22,INA,1,Samaypur Badli,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240726-795766,2024-07-26 09:37:06
30,102,Welcome,95,Inderlok,Red Line,RL,QR Ticket,Exit,Adult,40.00,QR-20240620-507688,2024-06-20 09:58:34
31,115,Laxmi Nagar,117,Preet Vihar,Blue Line (V),BLV,Other,Entry,Adult,40.00,OT-20240719-686359,2024-07-19 19:19:02
32,151,Lajpat Nagar,153,Kailash Colony,Violet Line,VL,Other,Entry,Adult,60.00,OT-20240624-737701,2024-06-24 09:59:32
33,16,Rajiv Chowk,21,Jor Bagh,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240512-275990,2024-05-12 18:14:37
34,151,Lajpat Nagar,159,Sarita Vihar,Violet Line,VL,Other,Exit,Adult,60.00,OT-20240510-555257,2024-05-10 15:14:35
35,51,Janakpuri West,63,Karol Bagh,Blue Line (N),BLN,QR Ticket,Exit,Concession,50.00,QR-20240528-261456,2024-05-28 08:11:22
36,87,Rithala,88,Rohini West,Red Line,RL,Other,Entry,Adult,50.00,OT-20240725-412214,2024-07-25 07:52:23
37,25,Hauz Khas,37,HUDA City Centre,Yellow Line,YL,NCMC,Exit,Student,10.00,NC-20240715-036784,2024-07-15 18:58:13
38,25,Hauz Khas,36,IFFCO Chowk,Yellow Line,YL,Other,Exit,Adult,60.00,OT-20240722-774639,2024-07-22 18:17:46
39,34,Sikanderpur,27,Saket,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240725-976327,2024-07-25 15:38:59
40,34,Sikanderpur,33,Guru Dronacharya,Yellow Line,YL,Other,Exit,Student,40.00,OT-20240518-388011,2024-05-18 17:17:27
41,120,Kaushambi,119,Anand Vihar,Blue Line (V),BLV,QR Ticket,Entry,Student,50.00,QR-20240522-677759,2024-05-22 08:47:53
42,22,INA,19,Udyog Bhawan,Yellow Line,YL,Other,Exit,Adult,30.00,OT-20240508-212799,2024-05-08 12:13:18
43,97,Pratap Nagar,109,Rajendra Nagar,Red Line,RL,QR Ticket,Entry,Student,30.00,QR-20240714-333631,2024-07-14 19:03:06
44,53,Tilak Nagar,138,Tikri Border,Blue Line (N),BLN,Other,Entry,Adult,40.00,OT-20240724-115470,2024-07-24 10:26:41
45,50,Uttam Nagar East,55,Tagore Garden,Blue Line (N),BLN,QR Ticket,Exit,Student,10.00,QR-20240607-226231,2024-06-07 16:13:23
46,12,Kashmere Gate,27,Saket,Yellow Line,YL,Other,Exit,Adult,60.00,OT-20240628-434219,2024-06-28 18:40:34
47,34,Sikanderpur,18,Central Secretariat,Yellow Line,YL,QR Ticket,Exit,Concession,50.00,QR-20240513-593507,2024-05-13 17:09:37
48,97,Pratap Nagar,89,Rohini East,Red Line,RL,QR Ticket,Entry,Concession,20.00,QR-20240729-627347,2024-07-29 04:34:23
49,99,Tis Hazari,92,Netaji Subhash Place,Red Line,RL,Other,Exit,Student,50.00,OT-20240722-808975,2024-07-22 16:14:47
50,67,Mandi House,48,Nawada,Blue Line (N),BLN,Other,Entry,Adult,50.00,OT-20240802-746133,2024-08-02 19:04:53
51,70,Yamuna Bank,81,Noida Sector 34,Blue Line (N),BLN,Other,Exit,Student,60.00,OT-20240717-822005,2024-07-17 07:37:33
52,51,Janakpuri West,56,Rajouri Garden,Blue Line (N),BLN,Other,Exit,Student,50.00,OT-20240724-546462,2024-07-24 21:50:36
53,16,Rajiv Chowk,27,Saket,Yellow Line,YL,NCMC,Exit,Adult,30.00,NC-20240430-067405,2024-04-30 20:17:50
54,21,Jor Bagh,22,INA,Yellow Line,YL,Other,Entry,Concession,60.00,OT-20240709-584364,2024-07-09 05:19:22
55,126,Paschim Vihar East,128,Peera Garhi,Green Line,GL,Other,Exit,Senior Citizen,40.00,OT-20240530-667346,2024-05-30 18:56:11
56,87,Rithala,40,Dwarka Sector 9,Red Line,RL,QR Ticket,Entry,Concession,10.00,QR-20240729-637738,2024-07-29 11:46:34
57,119,Anand Vihar,120,Kaushambi,Blue Line (V),BLV,QR Ticket,Exit,Adult,40.00,QR-20240716-070518,2024-07-16 18:49:22
58,16,Rajiv Chowk,22,INA,Yellow Line,YL,QR Ticket,Entry,Senior Citizen,60.00,QR-20240722-889284,2024-07-22 19:04:42
59,134,Mundka,130,Maharaja Surajmal Stadium,Green Line,GL,Other,Entry,Adult,50.00,OT-20240717-780509,2024-07-17 22:20:14
60,26,Malviya Nagar,33,Guru Dronacharya,Yellow Line,YL,QR Ticket,Exit,Adult,20.00,QR-20240524-041599,2024-05-24 00:39:17
61,37,HUDA City Centre,17,Patel Chowk,Yellow Line,YL,Other,Entry,Adult,20.00,OT-20240715-236328,2024-07-15 09:16:49
62,70,Yamuna Bank,46,Dwarka,Blue Line (N),BLN,Other,Entry,Adult,30.00,OT-20240508-565638,2024-05-08 11:07:35
63,19,Udyog Bhawan,34,Sikanderpur,Yellow Line,YL,Other,Exit,Adult,20.00,OT-20240723-941460,2024-07-23 13:46:04
64,72,Mayur Vihar-I,56,Rajouri Garden,Blue Line (N),BLN,QR Ticket,Entry,Adult,60.00,QR-20240722-403908,2024-07-22 18:42:40
65,87,Rithala,107,Shaheed Nagar,Red Line,RL,QR Ticket,Entry,Adult,50.00,QR-20240520-648572,2024-05-20 20:19:20
66,5,Adarsh Nagar,12,Kashmere Gate,Yellow Line,YL,Other,Entry,Concession,30.00,OT-20240717-781353,2024-07-17 10:35:21
67,51,Janakpuri West,76,Noida Sector 16,Blue Line (N),BLN,QR Ticket,Entry,Adult,40.00,QR-20240612-388163,2024-06-12 19:58:06
68,25,Hauz Khas,28,Qutab Minar,Yellow Line,YL,Other,Exit,Adult,30.00,OT-20240528-710832,2024-05-28 07:08:37
69,15,New Delhi,17,Patel Chowk,Yellow Line,YL,QR Ticket,Entry,Adult,40.00,QR-20240715-648494,2024-07-15 16:21:28
70,102,Welcome,34,Sikanderpur,Red Line,RL,QR Ticket,Entry,Adult,60.00,QR-20240520-947148,2024-05-20 18:49:54
71,25,Hauz Khas,9,Vishwavidyalaya,Yellow Line,YL,Other,Entry,Concession,60.00,OT-20240430-678055,2024-04-30 10:28:10
72,5,Adarsh Nagar,16,Rajiv Chowk,Yellow Line,YL,QR Ticket,Entry,Adult,40.00,QR-20240517-400796,2024-05-17 15:15:06
73,33,Guru Dronacharya,2,Rohini Sector 18-19,Yellow Line,YL,Other,Entry,Adult,60.00,OT-20240530-978249,2024-05-30 22:40:50
74,122,Ashok Park Main,129,Udyog Nagar,Green Line,GL,QR Ticket,Exit,Senior Citizen,10.00,QR-20240722-990175,2024-07-22 19:38:43
75,35,MG Road,34,Sikanderpur,Yellow Line,YL,Other,Entry,Adult,10.00,OT-20240801-066198,2024-08-01 08:50:43
76,116,Nirman Vihar,121,Vaishali,Blue Line (V),BLV,Other,Exit,Adult,40.00,OT-20240525-848656,2024-05-25 10:53:26
77,88,Rohini West,97,Pratap Nagar,Red Line,RL,Other,Entry,Concession,50.00,OT-20240630-740854,2024-06-30 08:21:39
78,97,Pratap Nagar,106,Dilshad Garden,Red Line,RL,Other,Exit,Adult,10.00,OT-20240606-498777,2024-06-06 08:59:12
79,95,Inderlok,114,Shaheed Sthal,Red Line,RL,Other,Exit,Student,50.00,OT-20240802-852654,2024-08-02 11:34:46
80,115,Laxmi Nagar,116,Nirman Vihar,Blue Line (V),BLV,Other,Exit,Adult,50.00,OT-20240619-190361,2024-06-19 18:23:49
81,19,Udyog Bhawan,28,Qutab Minar,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240729-351044,2024-07-29 21:00:05
82,117,Preet Vihar,116,Nirman Vihar,Blue Line (V),BLV,QR Ticket,Entry,Concession,30.00,QR-20240509-854019,2024-05-09 00:59:25
83,25,Hauz Khas,48,Nawada,Yellow Line,YL,Other,Entry,Student,50.00,OT-20240801-777849,2024-08-01 07:54:37
84,92,Netaji Subhash Place,97,Pratap Nagar,Red Line,RL,Other,Exit,Adult,50.00,OT-20240515-186063,2024-05-15 10:26:52
85,25,Hauz Khas,30,Sultanpur,Yellow Line,YL,Other,Exit,Adult,30.00,OT-20240801-372391,2024-08-01 19:23:38
86,97,Pratap Nagar,114,Shaheed Sthal,Red Line,RL,Other,Entry,Senior Citizen,30.00,OT-20240524-947946,2024-05-24 18:22:13
87,134,Mundka,138,Tikri Border,Green Line,GL,Other,Entry,Adult,50.00,OT-20240508-239458,2024-05-08 17:52:42
88,25,Hauz Khas,2,Rohini Sector 18-19,Yellow Line,YL,Other,Exit,Adult,40.00,OT-20240610-557384,2024-06-10 20:31:18
89,67,Mandi House,85,Noida Sector 62,Blue Line (N),BLN,Other,Entry,Adult,30.00,OT-20240709-332175,2024-07-09 19:40:56
90,34,Sikanderpur,37,HUDA City Centre,Yellow Line,YL,Other,Entry,Senior Citizen,40.00,OT-20240529-579645,2024-05-29 10:28:21
91,15,New Delhi,23,AIIMS,Yellow Line,YL,Other,Exit,Concession,30.00,OT-20240626-981476,2024-06-26 16:13:34
92,116,Nirman Vihar,121,Vaishali,Blue Line (V),BLV,Other,Exit,Senior Citizen,40.00,OT-20240617-683413,2024-06-17 10:14:23
93,29,Chhatarpur,9,Vishwavidyalaya,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240605-991157,2024-06-05 11:13:03
94,97,Pratap Nagar,91,Kohat Enclave,Red Line,RL,Other,Exit,Student,50.00,OT-20240624-376426,2024-06-24 14:47:57
95,156,Govind Puri,162,Badarpur Border,Violet Line,VL,Other,Exit,Adult,60.00,OT-20240523-605363,2024-05-23 20:33:31
96,111,Mohan Nagar,100,Shastri Park,Red Line,RL,QR Ticket,Exit,Senior Citizen,50.00,QR-20240707-855468,2024-07-07 06:35:02
97,116,Nirman Vihar,118,Karkarduma,Blue Line (V),BLV,Other,Exit,Senior Citizen,60.00,OT-20240428-763242,2024-04-28 06:17:13
98,21,Jor Bagh,16,Rajiv Chowk,Yellow Line,YL,Other,Exit,Senior Citizen,20.00,OT-20240728-467924,2024-07-28 23:25:34
99,87,Rithala,105,Jhilmil,Red Line,RL,QR Ticket,Exit,Adult,40.00,QR-20240620-914610,2024-06-20 10:45:07
100,16,Rajiv Chowk,17,Patel Chowk,Yellow Line,YL,Other,Entry,Senior Citizen,10.00,OT-20240708-567548,2024-07-08 06:19:15
101,17,Patel Chowk,28,Qutab Minar,Yellow Line,YL,QR Ticket,Entry,Adult,40.00,QR-20240710-210611,2024-07-10 22:14:35
102,113,Hindon River,114,Shaheed Sthal,Red Line,RL,Other,Entry,Adult,40.00,OT-20240703-534773,2024-07-03 12:08:03
103,25,Hauz Khas,17,Patel Chowk,Yellow Line,YL,Other,Exit,Concession,30.00,OT-20240603-194675,2024-06-03 05:56:11
104,97,Pratap Nagar,95,Inderlok,Red Line,RL,Other,Exit,Adult,30.00,OT-20240504-828551,2024-05-04 16:38:44
105,34,Sikanderpur,29,Chhatarpur,Yellow Line,YL,Other,Entry,Adult,40.00,OT-20240702-733289,2024-07-02 12:41:21
106,22,INA,27,Saket,Yellow Line,YL,QR Ticket,Exit,Adult,20.00,QR-20240530-338153,2024-05-30 10:21:02
107,134,Mundka,122,Ashok Park Main,Green Line,GL,Other,Entry,Concession,40.00,OT-20240529-051519,2024-05-29 00:21:26
108,139,Pandit Shree Ram Sharma,125,Madipur,Green Line,GL,Other,Exit,Adult,40.00,OT-20240720-848990,2024-07-20 09:54:30
109,46,Dwarka,63,Karol Bagh,Blue Line (N),BLN,Other,Exit,Adult,40.00,OT-20240708-504877,2024-07-08 20:32:39
110,28,Qutab Minar,14,Chawri Bazar,Yellow Line,YL,Other,Entry,Senior Citizen,40.00,OT-20240527-362275,2024-05-27 22:23:55
111,22,INA,26,Malviya Nagar,Yellow Line,YL,Other,Entry,Adult,50.00,OT-20240528-733602,2024-05-28 16:19:32
112,14,Chawri Bazar,2,Rohini Sector 18-19,Yellow Line,YL,Other,Exit,Adult,50.00,OT-20240607-214589,2024-06-07 09:24:39
